LoyaltyID,Policy ID,Automobile Lifetime Value,Coverage,Expiry Date,Employment Status,Income,Claim Location Type,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy Level,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Premiums Over Claim,Expiry Month Number,Expiry Month,Policy Count
493621,YA17061,"3,716",Extended,21/01/2019,Medical Leave,"17,162",Suburban,96,15,29,0,1,Corporate Auto,Corporate L2,Offer 2,Web,460.8,Four-Door Car,Small,6.04166667,1,Jan,1
534716,HA45220,"5,258",Basic,29/01/2019,Employed,"37,874",Rural,65,30,65,0,8,Corporate Auto,Corporate L3,Offer 1,Branch,41.02,Four-Door Car,Large,102.9985373,1,Jan,1
852573,NI27358,"7,255",Basic,28/01/2019,Employed,"67,352",Urban,181,7,90,1,1,Personal Auto,Personal L3,Offer 3,Branch,560.95,Luxury Car,Small,29.04002139,1,Jan,1
110089,GY99465,"6,869",Basic,27/01/2019,Unemployed,0,Suburban,69,18,71,2,2,Corporate Auto,Corporate L2,Offer 2,Branch,331.2,Four-Door Car,Medium,14.79166667,1,Jan,1
686477,NQ92014,"3,659",Basic,10/01/2019,Unemployed,0,Suburban,106,34,39,0,1,Personal Auto,Personal L2,Offer 2,Web,763.2,SUV,Medium,5.41666667,1,Jan,1
238233,PV26437,"7,320",Basic,14/01/2019,Employed,"57,777",Urban,61,21,11,1,2,Corporate Auto,Corporate L3,Offer 1,Agent,273.88,Four-Door Car,Medium,2.44997809,1,Jan,1
476314,DP92488,"2,728",Basic,11/01/2019,Employed,"74,592",Suburban,67,9,30,0,1,Personal Auto,Personal L1,Offer 4,Agent,321.6,Two-Door Car,Medium,6.25,1,Jan,1
191318,HD95276,"4,738",Extended,08/01/2019,Unemployed,0,Rural,130,0,93,0,1,Personal Auto,Personal L3,Offer 3,Branch,23.82,SUV,Medium,507.55667506,1,Jan,1
622627,WL42517,"3,747",Basic,26/01/2019,Unemployed,0,Suburban,107,17,81,0,1,Personal Auto,Personal L3,Offer 1,Call Center,549.99,SUV,Medium,15.75846834,1,Jan,1
476141,TZ81094,"2,372",Basic,23/01/2019,Medical Leave,"19,030",Suburban,62,7,22,0,1,Corporate Auto,Corporate L3,Offer 3,Branch,355.82,Two-Door Car,Medium,3.83339891,1,Jan,1
715184,QA85890,"5,849",Extended,13/01/2019,Unemployed,0,Suburban,83,2,47,0,4,Corporate Auto,Corporate L2,Offer 3,Agent,540.51,Four-Door Car,Medium,7.21725778,1,Jan,1
600302,SZ70655,"4,293",Basic,09/01/2019,Unemployed,0,Suburban,61,18,15,0,8,Corporate Auto,Corporate L3,Offer 1,Agent,292.8,Two-Door Car,Large,3.125,1,Jan,1
